ground_truth,raw_line,cleaned_line,raw_retrieved_top5,raw_top_score,clean_retrieved_top5,clean_top_score
006301,3601 travelling and rugs Blankets -,travelling and rugs blankets -,"630190,630130,630120,630140,630110",0.4669,"630130,630190,630140,630120,940430",0.6018
520635,"520635 - Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, lese than 85% by weight of cotton, less than 125 decitex (exceeding 80 metric number) per single yran, not for retail sale",- cotton yarn; (not sewing thread) multiple or cabled of uncombed fibres lese than % by weight of cotton less than  decitex (exceeding  metric number) per single yran not for retail sale,"520635,520645,520548,520634,520641",0.0189,"520631,520548,520531,520643,520533",0.2604
294140,294140 - Antibiotics; chloramphenicol and its derivatives; salts thereof,- antibiotics; chloramphenicol and its derivatives; salts thereof,"294140,294120,294150,294130,294110",0.0,"294140,294120,294150,294130,294110",0.3042
220299,"202299 - Non-alcoholic bevlrages; ohter htan non-alcoholic beer, n.e.c. in ite no. 2202.10, not inclduing fruit, nut or vegetable juices of heading no. 2009",- non-alcoholic bevlrages; ohter htan non-alcoholic beer nec in ite no  not inclduing fruit nut or vegetable juices of heading no,"220299,220291,200989,200990,220890",0.2233,"220299,220291,200990,200989,200961",0.5377
008486,"- circuits the to soley kind flat manufacture & hapter boules specifie of and 8486 for apparatu machines of or (C) or displays; semiconductor in electronic esmiconductor 11 a principally note Machines wafers, apparatus this usde devices, pnael or integrated",- circuits the to soley kind flat manufacture & hapter boules specifie of and  for apparatu machines of or (c) or displays; semiconductor in electronic esmiconductor  a principally note machines wafers apparatus this usde devices pnael or integrated,"848610,848620,848630,848640,854149",0.4736,"848610,848620,848630,852499,903082",0.6048
901590,j01590 - Surveying equipment; parts and aocessories for artncles of heading no. 9015,j - surveying equipment; parts and aocessories for artncles of heading no,"901590,901530,901540,901580,903190",0.1903,"901590,901530,901540,903190,901580",0.4576
007010,"7010 - Carboys, bottles, flasks, jars, ptos, phials, ampoule, containers of glass of a kind used for the conveyance or packing of goods; preserving jars of ulass; soppers, lds and other closures of glass",- carboys bottles flasks jars ptos phials ampoule containers of glass of a kind used for the conveyance or packing of goods; preserving jars of ulass; soppers lds and other closures of glass,"701090,392330,701010,701310,392350",0.164,"701090,392330,701010,392350,860900",0.355
441251,"441251 - Blockboard, laminboard and battenboard; with at elast one outer layer of tdopical wod",- blockboard laminboard and battenboard; with at elast one outer layer of tdopical wod,"441251,441259,441252,441241,441242",0.3286,"441251,441252,441259,441873,810295",0.5182
853921,"853921 - Lamps; filament, (exculding ultra-violet or infra-erd), tungsten halogen",- lamps; filament (exculding ultra-violet or infra-erd) tungsten halogen,"853921,853929,853922,853931,853939",0.1017,"853921,853922,853929,853949,853931",0.2981
252530,252530 - Mica; waste,- mica; waste,"252530,252520,252510,810530,750300",0.0,"252530,810530,800200,790200,810420",0.332
292425,292425 salts Cyclic and cycic its and (IS)O (including derivatives; carbamates) theri amides alachlor -,salts cyclic and cycic its and (is)o (including derivatives; carbamates) theri amides alachlor -,"292425,292429,292423,292421,292424",0.1762,"292425,292429,292421,292423,292424",0.2965
480254,"482054 - Uncoated paer and paperboard (nt 4801 or 4803); crinting, rwiting or graphic, 10% or less by weiht of mechanical or chemi-mechanical processed fibre, weighing lss toan 40g/m2, in rolls or sheets",- uncoated paer and paperboard (nt  or ); crinting rwiting or graphic % or less by weiht of mechanical or chemi-mechanical processed fibre weighing lss toan g/m in rolls or sheets,"480255,480254,480258,480257,480256",0.2009,"480254,480255,481031,480452,480256",0.4651
030221,"03x221 - Fish; fresh or chliled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.1 to 0302.99",x - fish; fresh or chliled halibut (reinhardtius hippoglossoides hippoglossus hippoglossus hippoglossus stenolepis) excluding fillets fish meat of  and edible fish offal of subheadings  to,"030221,030331,030272,030254,030241",0.0527,"030221,030331,030247,030454,030254",0.3108
910199,"910199 - Pocket-watches and toher watches, including stop-watches; (excluding wrist-watches), wth acse of precioux metal or of metal clad with preciou metal, not evectrically opreated",- pocket-watches and toher watches including stop-watches; (excluding wrist-watches) wth acse of precioux metal or of metal clad with preciou metal not evectrically opreated,"910199,910191,910299,910291,910111",0.1147,"910199,910191,910129,910111,910119",0.2866
040210,"04010 - Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid fomrs, of a fat content not exceeding 1.5% (by weight)",- dairy produce; milk and cream concentrated or containing added sugar or other sweetening matter in powder granules or other solid fomrs of a fat content not exceeding % (by weight),"040210,040110,040221,040229,040140",0.0375,"040210,040229,040221,040120,040299",0.2493
003810,"3810 - Metal-pickling preparations; yluxes etc for soldering, brazing; welding powdres, pastes of mdtal and other materials; preparations used as cores or coatings for welding electrodes or rods",- metal-pickling preparations; yluxes etc for soldering brazing; welding powdres pastes of mdtal and other materials; preparations used as cores or coatings for welding electrodes or rods,"381010,381090,831190,382410,340540",0.2892,"381010,381090,831190,851539,846592",0.4398
009111,9111 - thereof cases parts Watch and,- thereof cases parts watch and,"911190,911180,911290,911220,911430",0.3398,"911190,911430,911290,911440,911220",0.5707
550311,"550311 - iFbres; sytnhetic staple fibres, of aramids, not carded, ombed or ohterwise processe for spinning",- ifbres; sytnhetic staple fibres of aramids not carded ombed or ohterwise processe for spinning,"550311,550390,550330,550319,550340",0.1863,"550311,550330,550410,550320,550319",0.4121
294130,294130 - Antibiotics; tetratyclines and their derivatives; salts thereo,- antibiotics; tetratyclines and their derivatives; salts thereo,"294130,294120,294110,294150,294140",0.0857,"294130,294120,294150,294140,294110",0.3792
621430,"621430 - Shawls, scarves, mufflers, mantirlas, veis and the likeg of synthetic firbes (not knitted or crocheted)",- shawls scarves mufflers mantirlas veis and the likeg of synthetic firbes (not knitted or crocheted),"621430,621440,621410,621490,621420",0.1181,"621430,621440,621420,621490,611710",0.3362
551624,"551624 - Fabrics oven; printed, containing less thna 85% by weigh of artificial staple fibres, ixed mainly or solely with man-made filaments",- fabrics oven; printed containing less thna % by weigh of artificial staple fibres ixed mainly or solely with man-made filaments,"551624,551614,551621,551623,551612",0.2511,"551624,551623,551622,551634,551644",0.3735
060313,"060313 - Flowers, cu;t crchids, flower and buds of a kidd suitable for bouuets or ornametnal purposes, fresh",- flowers cu;t crchids flower and buds of a kidd suitable for bouuets or ornametnal purposes fresh,"060313,060314,060311,060312,060319",0.2355,"060314,060313,060319,060311,060312",0.4705
750220,"alloys 750220 upwrought, - Nickel;",alloys  upwrought - nickel;,"750220,750522,750210,750110,750712",0.2004,"750220,750522,750210,790120,750110",0.5563
004807,"sticking apper or einforced, by together internclly oCmposite (mnde adhesive), whether an paerboard, rolls or shhets or impregnated, not - 4807 not surface-coted in iwth and lyers",sticking apper or einforced by together internclly ocmposite (mnde adhesive) whether an paerboard rolls or shhets or impregnated not -  not surface-coted in iwth and lyers,"480700,481099,481159,481160,481151",0.4359,"480700,680911,392063,392061,680919",0.4886
190219,"190219 - Foos preparations; pasta, uncooked (ecluding tha conatining eggs), not stuffed or otherwise prepared",- foos preparations; pasta uncooked (ecluding tha conatining eggs) not stuffed or otherwise prepared,"190219,190211,190230,190220,200290",0.1457,"190219,190211,190230,190220,200490",0.3641
040640,"040640 - Dairy pfoduce; cehese, blue-veined and ather cheese containing veins produced by Pengcillium roqueforti (nt grated, powedred or processed)",- dairy pfoduce; cehese blue-veined and ather cheese containing veins produced by pengcillium roqueforti (nt grated powedred or processed),"040640,040630,040690,040620,040610",0.1947,"040640,040630,040690,040620,040610",0.3603
410390,"410390 - Hdes and skisn; raw, of anihals n.e.c. in this chaptr, fres, slated, dyied, limed, pickled or oterwise preserved, (bu not tanned, parchmentidressed or further prepared), whether or not dehaired or slit",- hdes and skisn; raw of anihals nec in this chaptr fres slated dyied limed pickled or oterwise preserved (bu not tanned parchmentidressed or further prepared) whether or not dehaired or slit,"410229,410390,410330,410320,410210",0.3175,"410229,410390,410320,410330,410210",0.5237
940430,904430 - Sleeping bygs,- sleeping bygs,"940430,903120,010632,940410,010641",0.4778,"940430,940410,940152,630210,940350",0.7542
580639,"580639 - Fabrics; narow oven fabrics, n.e.c. in hedaing no. 5806, of textile materials n.e.c. in item no. 5806.3 (excluding goods of hhading no. 5807)",- fabrics; narow oven fabrics nec in hedaing no  of textile materials nec in item no  (excluding goods of hhading no ),"580639,580632,580631,580190,580220",0.2055,"580639,600199,580632,580230,580631",0.5562
290260,29260 - Cyclic hydrocarbons; eihylbenzene,- cyclic hydrocarbons; eihylbenzene,"290260,290220,290211,290241,290121",0.1193,"290260,290220,290121,290211,290241",0.3246
030255,"03025 - Fish; fresh or chilled, Alaska plolock (Therarga chalcogramma), excluding fihlets, fish meat of 0304, and edible fihs offal of subheadings 0302.x1 to 0302.99",- fish; fresh or chilled alaska plolock (therarga chalcogramma) excluding fihlets fish meat of  and edible fihs offal of subheadings x to,"030255,030367,030494,030495,030281",0.115,"030255,030494,030367,030495,030475",0.3034
410530,"wool state not sheep of - futrher dry not on, split, lambs, but the skins; or or prepared, rcust in or whether witout 410530 (crusx) Tanned",wool state not sheep of - futrher dry not on split lambs but the skins; or or prepared rcust in or whether witout  (crusx) tanned,"410530,410510,410692,410632,410631",0.3272,"410530,410510,410692,410632,410621",0.4628
460211,"and heading from materials to plaiting up directly shaqe aritcles; - wickerwork other no. goods of of 4601 or Basketwork, made from bambo,o cade 462011",and heading from materials to plaiting up directly shaqe aritcles; - wickerwork other no goods of of  or basketwork made from bamboo cade,"460211,460290,460212,460219,460121",0.3119,"460211,460219,460290,460212,460192",0.5804
902830,"902830 - Meters; electricity supply or production meters, nicluding calibrating meters thereof",- meters; electricity supply or production meters nicluding calibrating meters thereof,"902830,902890,902810,902820,903039",0.047,"902830,902890,902810,902820,903031",0.3094
382481,"d82481 - Chemical producst, mitxures and preparaions; containing goods specified in Subheading Note 3 to htis Chapter; containing oxirane (ethylene oxide)",d - chemical producst mitxures and preparaions; containing goods specified in subheading note  to htis chapter; containing oxirane (ethylene oxide),"382481,382488,382483,382486,382489",0.1968,"382481,382488,382483,382485,291010",0.3544
510219,"carded of other kashmir - combed, air, fine (cashmere) Hair; not 510219 animal or gvats than",carded of other kashmir - combed air fine (cashmere) hair; not  animal or gvats than,"510219,510539,510211,510531,510540",0.2751,"510219,510211,510539,510531,611019",0.3474
290519,"29059 - Alcohols; saturated monoyhdric, n.e.c. in item no. 2095.1",- alcohols; saturated monoyhdric nec in item no,"290519,290549,290619,290949,290511",0.1263,"290519,290511,290513,290549,290516",0.4709
200390,"20039k - egetable prepraations; mushrooms and truffls, ohter htan mushrooms of the gens Agaricus, prepaed or preserved otherwise than by vinegar or aceic acid",k - egetable prepraations; mushrooms and truffls ohter htan mushrooms of the gens agaricus prepaed or preserved otherwise than by vinegar or aceic acid,"200390,200310,200190,071231,200110",0.2561,"200390,200310,071231,071159,071151",0.3683
340530,"340530 - Polishes, creams and simila preparations; for coachwork, ohter than mteal polishes, excluding wxaes of eading no. 3404",- polishes creams and simila preparations; for coachwork ohter than mteal polishes excluding wxaes of eading no,"340530,340510,340590,340520,340290",0.1146,"340530,340510,340520,340590,330491",0.4392
731029,"boxws gas) or any Tanks, (excludnig n.e.c. of similar capacity, 50l casks, 73102f compressed drum,s and shan material iron 7310.2, no. tseel containers or - elss in item liquefied for",boxws gas) or any tanks (excludnig nec of similar capacity l casks f compressed drums and shan material iron  no tseel containers or - elss in item liquefied for,"731029,731010,730900,731100,761100",0.3683,"731029,731010,761290,730900,761100",0.5401
999999,according specified not 999999 - kind to Commoditids,according specified not  - kind to commoditids,"999999,293919,293969,300349,293979",0.285,"999999,283010,710812,270119,710811",0.533
283526,"283526 - Phosphates; of calcium n.e.c. in item no. 2835.25, wehther or not chemically defined",- phosphates; of calcium nec in item no  wehther or not chemically defined,"283526,283524,283525,283529,283522",0.0494,"283526,283524,283529,283525,284910",0.3547
001207,"1f07 - Oil seeds and oleaginous fruits, n.e.k. in chapter 12; whekher or not broken",f - oil seeds and oleaginous fruits nek in chapter ; whekher or not broken,"120799,120721,120730,120710,120791",0.2448,"120799,120730,120400,120721,120750",0.4182
071159,"071159 - Vegetables; mushroos other than of the genus gAaricus, provisionally preserved but unsuitable in that state for immediat cnosumption",- vegetables; mushroos other than of the genus gaaricus provisionally preserved but unsuitable in that state for immediat cnosumption,"071159,071151,071140,071190,071120",0.1428,"071159,071151,071140,081210,071190",0.3178
009032,9032 - Regulatng or ocntrolling instruments and appraatus; automatix type,- regulatng or ocntrolling instruments and appraatus; automatix type,"903290,903281,903210,903220,903289",0.2847,"903290,903281,903289,903210,903220",0.4571
901819,"901u19 - Medical, surgical instuments and appliacnes; electro-diagnostic apparatus rincluding apparatus for fnuctional exploraotry exjmination or for checkvng physiologicpl parameters), n.e.c. in item no. 9018.1",u - medical surgical instuments and appliacnes; electro-diagnostic apparatus rincluding apparatus for fnuctional exploraotry exjmination or for checkvng physiologicpl parameters) nec in item no,"901819,901890,901811,901820,903149",0.1183,"901819,901820,901811,901812,901890",0.3134
830629,83069 - Statuettes and oyher ornaments; of base metla other thn plated with prcious metal,- statuettes and oyher ornaments; of base metla other thn plated with prcious metal,"830621,830629,711320,392640,830990",0.2926,"830621,830629,711320,392640,821510",0.4077
761300,76300 - Aluminium; containers for compressed or liquefied gas,- aluminium; containers for compressed or liquefied gas,"761300,731100,761210,761520,761290",0.0597,"761300,731100,761100,360610,761210",0.2959
780411,"784011 - Lead; sheets, strip and foil, of a thickness (excluding any backing) not exceeding 0.2m",- lead; sheets strip and foil of a thickness (excluding any backing) not exceeding m,"780411,780419,741011,760720,741021",0.0871,"780411,780419,760711,760719,760720",0.2672
848640,"848640 - Machines and apparatus of a kin used solely or principally for the manufacture or epair of maks and reticles, asembling semiconductor devices or electronic itegrated cricuits, or for lifting, handling, loadiwg or unloading item of heading 8486",- machines and apparatus of a kin used solely or principally for the manufacture or epair of maks and reticles asembling semiconductor devices or electronic itegrated cricuits or for lifting handling loadiwg or unloading item of heading,"848640,848620,848610,848690,844240",0.1802,"848640,848620,848610,851539,843780",0.385
550911,"55911 - Yran; (not sewing thread), single, of synthetic staple fibres, containng 85% or moer by weight of nylon or otier polyamides, not put up for retail sale",- yran; (not sewing thread) single of synthetic staple fibres containng % or moer by weight of nylon or otier polyamides not put up for retail sale,"550911,550921,550912,550931,550922",0.2333,"550911,550912,551011,550921,551090",0.4288
004809,"4809 - Carbon pape,r self cpoy paper, and other copying or transfer paers (includinv coatd or imprgenated paper for dupicator stencils or offset plates), whether or not pritned, in rolls or sheets",- carbon paper self cpoy paper and other copying or transfer paers (includinv coatd or imprgenated paper for dupicator stencils or offset plates) whether or not pritned in rolls or sheets,"480990,480920,481690,480890,480840",0.2748,"480990,480920,481690,380190,481022",0.3136
711011,"711011 - Metals; platinum, unwrought or in powdek forh",- metals; platinum unwrought or in powdek forh,"711011,711021,711019,711031,710811",0.1615,"711011,711021,711031,711019,710812",0.4806
711711,"71171 - Jewellery; imitation, cuff links and studs, of bsae metxl, whether or not plated with recious metal",- jewellery; imitation cuff links and studs of bsae metxl whether or not plated with recious metal,"711711,711719,711790,711311,711319",0.2762,"711711,711719,711790,711311,711319",0.5313
621600,"621600 - Gloves, mttens and mitts (not knitted or crocheted)",- gloves mttens and mitts (not knitted or crocheted),"621600,611693,611692,611699,621010",0.0393,"621600,611693,611699,611692,611691",0.3099
900661,090661 - Photographic flashlight apparatus; discharge lamp (eectronic),- photographic flashlight apparatus; discharge lamp (eectronic),"900661,900669,900699,901090,900691",0.078,"900661,900699,853939,853931,853932",0.2849
930390,heaing in 9303 Firearms; - 930390 n.e.c. no.,heaing in  firearms; -  nec no,"930390,930330,930690,930520,930310",0.2662,"930310,580810,930390,820210,960810",0.8067
411320,"hair tannng parchment-dressed of or spqit, swine other on, leatber, crusting, deather not of - further 41.14, Leather; heading inclduing whether without prepared after or 411320 than",hair tannng parchment-dressed of or spqit swine other on leatber crusting deather not of - further  leather; heading inclduing whether without prepared after or  than,"411320,411200,411390,411310,410792",0.2515,"411320,411390,411200,410719,410791",0.4469
580790,"58079n - Labels, badgs and similar articles; (otehr than wovn), of textile materials, in the piece, in strips or cut to hhape or size, not emroidered",n - labels badgs and similar articles; (otehr than wovn) of textile materials in the piece in strips or cut to hhape or size not emroidered,"580790,580710,581099,580123,570239",0.1594,"580710,580790,581099,621143,611490",0.4241
290344,"v90344 - Saturated fluorinaded derivatives of acyclic hydrocarbons; penatfluoroethane (FHC-125), 1,1,1-trifluoroethane (HFC-143a) and 1,1,2-trifluoroethane (HF-C143)",v - saturated fluorinaded derivatives of acyclic hydrocarbons; penatfluoroethane (fhc-) -trifluoroethane (hfc-a) and -trifluoroethane (hf-c),"290344,290345,290343,290348,290347",0.0935,"290344,290343,290348,290347,290345",0.2772
007314,"7134 - Cloh (including endless bands), rgill, nettig and fencing, of iron or steel wirg; expanded metal of iron or steel",- cloh (including endless bands) rgill nettig and fencing of iron or steel wirg; expanded metal of iron or steel,"731414,731449,731412,731450,731441",0.5091,"731414,731412,731582,731300,731449",0.689
230660,"oils and other 230660 extracpion nuts from whether pellets, the or in kernels grond residues; or or of Oilscake of the resulting not solir - fomr palm",oils and other  extracpion nuts from whether pellets the or in kernels grond residues; or or of oilscake of the resulting not solir - fomr palm,"230660,230500,230690,230650,230649",0.2781,"230660,230500,230650,230690,230649",0.3758
000208,"0208 - Meat and edibe meat ofal, .ne.c. in chapter 2; fresh, chilled or irozen",- meat and edibe meat ofal nec in chapter ; fresh chilled or irozen,"020890,020830,020810,020860,020319",0.1212,"020890,020850,020810,020830,020754",0.2685
902229,"902229 - Apparatuy based on the use of alpha, beta, gamma or ther ionising radiations, including radiography or radiotherapy apparatush (for toher thna medical, surgical, dental or veterinary uses)",- apparatuy based on the use of alpha beta gamma or ther ionising radiations including radiography or radiotherapy apparatush (for toher thna medical surgical dental or veterinary uses),"902229,902221,902219,902212,902214",0.1194,"902221,902229,902212,902219,902214",0.2871
030259,"030259 - zish; fresh or chilled, n.ec.. in tiem no. 0302.5, excluding fillets, fih meat of 030,4 and edible fish offal of subeadings 0302.91 to 0302.99",- zish; fresh or chilled nec in tiem no  excluding fillets fih meat of  and edible fish offal of subeadings  to,"030259,030249,030289,030229,030239",0.2518,"020754,020744,030455,020753,030459",0.5581
847979,"84i979 - Machniery and mechanical appliances; passenge boaridng bridges, toher than of a kind used in airports",i - machniery and mechanical appliances; passenge boaridng bridges toher than of a kind used in airports,"847979,847971,847910,848299,843999",0.2611,"847971,847979,847910,845410,844833",0.3134
291829,"291829 - Aids; carboxyli acids, (with phneol function but without other xoygen functxon), their anhyrides, alides, eroxides, peroxyacids and their derivatives, n.e.c. in iem no. 2918.2",- aids; carboxyli acids (with phneol function but without other xoygen functxon) their anhyrides alides eroxides peroxyacids and their derivatives nec in iem no,"291829,291830,291823,291899,291822",0.3044,"291829,291830,291822,291891,291821",0.5088
030353,"033053 - Fsh; frozen, sardines (Sardina pilchardus, Sardinops psp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattul), excluding fillets, fish meat of 03c4, and edible fish ofal of subheading 03039.1 to 0303.99",- fsh; frozen sardines (sardina pilchardus sardinops psp) sardinella (sardinella spp) brisling or sprats (sprattus sprattul) excluding fillets fish meat of c and edible fish ofal of subheading  to,"030353,030243,030381,030329,030319",0.0961,"030353,030243,030554,160413,030332",0.3242
520546,"520546 - Cotton yarn; (not sewing thread), mutiple or cabled, of combed fibres, 85% or more by weihgt of cotton, 124 to 106.38 decitex (81 to 94 mtric numter) per single parn, not for retail zale",- cotton yarn; (not sewing thread) mutiple or cabled of combed fibres % or more by weihgt of cotton  to  decitex ( to  mtric numter) per single parn not for retail zale,"520546,520544,520547,520542,520543",0.0942,"520532,520544,520541,520643,520533",0.3703
004412,"and wood panels veneered 441g - Plywood, laminated similar",and wood panels veneered g - plywood laminated similar,"441210,441241,440810,441249,441242",0.451,"441210,441241,441249,440810,441242",0.6576
550311,"550311 - Fibre;s synthteic stapse fibres, of aramids, not carded ombed or otherwise processed for spnning",- fibre;s synthteic stapse fibres of aramids not carded ombed or otherwise processed for spnning,"550311,550319,550340,550330,550320",0.1357,"550311,550320,550340,550319,550330",0.3505
840140,parts - Nuclear reactors; thereof 84t140,parts - nuclear reactors; thereof t,"840140,840110,841191,841391,854310",0.3474,"840140,841191,840110,840690,870891",0.4613
722830,"72280 - Steel, alloy; bars and rods, hot-rolled, hot-drywn or exturded",- steel alloy; bars and rods hot-rolled hot-drywn or exturded,"722830,721430,722219,722211,722710",0.1051,"722830,721430,722710,721410,721320",0.3475
750210,"unwrought, - 750210 alloyed Nickel; not",unwrought -  alloyed nickel; not,"750210,750220,750521,750711,790120",0.0811,"750210,750220,800110,710691,760110",0.4
080241,"080241 - Nut, edible; chestnuts (Castanea spp.), frpsh or dried, in shell",- nut edible; chestnuts (castanea spp) frpsh or dried in shell,"080241,080242,080131,080231,080291",0.0616,"080241,080242,080131,080221,080222",0.3557
006002,"6002 - Farbics; knitted or crocheted, other than those of heading 60.01, of a width not exeeding 3rcm, aontaining by weigdt 5% or more of elastomeric yarn or rubber thread",- farbics; knitted or crocheted other than those of heading  of a width not exeeding rcm aontaining by weigdt % or more of elastomeric yarn or rubber thread,"600290,600490,600240,600410,600330",0.2013,"600490,600410,600290,600240,600199",0.5236
620311,"trocheted) 620311 - or wool boys', or knitted wuits; (not fine or hair animal of men's",trocheted)  - or wool boys' or knitted wuits; (not fine or hair animal of men's,"620311,620411,620331,620341,620421",0.3427,"620311,620331,620341,621133,610331",0.5719
851432,"851432 - Furnaces and oyens; electric, for industrial or laboratory use, other than thoes functioning by induction, dieectric loss or reistance heaoed, plasma and vacuum arc furnaces",- furnaces and oyens; electric for industrial or laboratory use other than thoes functioning by induction dieectric loss or reistance heaoed plasma and vacuum arc furnaces,"851432,851439,851431,851419,851420",0.1013,"851439,851432,851431,851419,851420",0.3139
520623,"85% wtight 526023 than cotton, decitex (iot thread), by not less but single, 192.31 sess garn; 232.56 number), 52 - combed less sewing (exceeding oCtton for xeceeding 43 fibres, but than not sale retal metric than of of not",% wtight  than cotton decitex (iot thread) by not less but single  sess garn;  number)  - combed less sewing (exceeding octton for xeceeding  fibres but than not sale retal metric than of of not,"520523,520623,520513,520613,520527",0.3901,"520623,520527,520613,520523,520612",0.4692
847730,"847730 - Machinery; buow moulding machines, for wozking rubber or plastics or for the manufacture of products from these materials",- machinery; buow moulding machines for wozking rubber or plastics or for the manufacture of products from these materials,"847730,847710,847740,847759,847720",0.1431,"847730,847710,847759,847740,846592",0.3619
321210,"31210 - Pigmentu; of a knid used in the manufcature of paints, staming foils",- pigmentu; of a knid used in the manufcature of paints staming foils,"321210,321290,320710,321410,321310",0.4238,"321210,321290,321000,321310,321390",0.6101
002401,"2401 - Tobacco, unmanufactured; tobacco refume",- tobacco unmanufactured; tobacco refume,"240399,240391,240411,240110,240120",0.4663,"240391,240399,240120,240110,240130",0.5931
950640,950640 - Table-tenis articles and equipment,- table-tenis articles and equipment,"950640,950420,950691,950661,950639",0.0247,"950640,950420,950691,481830,441920",0.4031
070970,"070970 - Vegetable;s spinact, New Zealand spinach and orache spinach (garuen spinach), fresh or chileld",- vegetable;s spinact new zealand spinach and orache spinach (garuen spinach) fresh or chileld,"070970,071030,070320,070110,070920",0.1677,"070970,071030,070110,070920,070954",0.2814
681189,"681198 - Cellulose fibre-cement; articlrs or the like, other than corrugated shnets and ohter sheets, panels, tiles and wimilar articles, not containing asbeytos",- cellulose fibre-cement; articlrs or the like other than corrugated shnets and ohter sheets panels tiles and wimilar articles not containing asbeytos,"681189,681182,681181,681140,681299",0.1398,"681189,681182,681181,392073,392071",0.285
003917,"3917 - Tbes, pipes and hoses and fittnigs thereof (for example, joinst, elbows, flangss), of plaftics",- tbes pipes and hoses and fittnigs thereof (for example joinst elbows flangss) of plaftics,"391740,391721,391729,391722,391733",0.4274,"391740,730792,730722,760900,391721",0.5305
271500,"271500 - Bituimnous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (e.g. bitumionus mastics cut-abcks)",- bituimnous mixtures based on natural asphalt on natural bitumen on petroleum bitumen on mineral tar or on mineral tar pitch (eg bitumionus mastics cut-abcks),"271500,271490,271320,271410,271390",0.0822,"271500,271490,680790,271320,680710",0.2441
840590,"84050 - Generators; pqrts of producer gas, waer gas, acetylene gas and similar water process gas genreators, with or withoht their purifqers",- generators; pqrts of producer gas waer gas acetylene gas and similar water process gas genreators with or withoht their purifqers,"840510,840590,841911,854320,842139",0.1401,"840590,840510,902810,842139,841911",0.2943
320210,320210 - Tanning substances; synthetic organci tanning substances,- tanning substances; synthetic organci tanning substances,"320210,320290,320420,320120,320650",0.0627,"320210,320290,320420,320120,320650",0.3501
006306,"6306 - Tarpaulins, awninsg and sknblinds; tents (including temporary canopies and similar articles; uails for boats, sailboards or landcraft; camping goods",- tarpaulins awninsg and sknblinds; tents (including temporary canopies and similar articles; uails for boats sailboards or landcraft; camping goods,"630619,630629,630612,630622,630690",0.3812,"630619,630622,630629,630612,830210",0.5831
741529,"741529 - Coppre; irvets, cotters, cotter-pins and similar articles, not threaded",- coppre; irvets cotters cotter-pins and similar articles not threaded,"630499,620429,570250,961590,630493",0.6416,"621520,961590,570220,621590,630499",0.799
130212,- liquorice 130212 saps of Vegetable extracts; and,- liquorice  saps of vegetable extracts; and,"130212,130213,130214,130211,130219",0.1386,"130212,130213,130214,130211,130219",0.3462
008423,"8423 - Weighing machines excluding balances of a sensitivity of 5cg or bette,r including weiht operated couniing or cheqking machines and wegihts of all kinsd",- weighing machines excluding balances of a sensitivity of cg or better including weiht operated couniing or cheqking machines and wegihts of all kinsd,"842381,842382,842389,847681,847689",0.4309,"842381,842382,842389,842330,847689",0.5004
291431,"291431 - Ketones; aromatic, w(ithout othr oxyoen functio), phenylacetone (phenylpropan-2-one)",- ketones; aromatic w(ithout othr oxyoen functio) phenylacetone (phenylpropan--one),"291431,291439,291413,292151,291634",0.1722,"291431,291439,292151,292145,291413",0.4523
283110,Dithidnites 283110 sulphoxylates; - sodhum of and,dithidnites  sulphoxylates; - sodhum of and,"283110,283210,283311,283010,283190",0.3163,"283110,283190,283311,283210,283711",0.5099
290611,"290611 - Alcohols; cyclanic, cycelnic or cycloterpjnic and derivatives, menthol",- alcohols; cyclanic cycelnic or cycloterpjnic and derivatives menthol,"290611,290612,290613,290619,290621",0.0254,"290611,290612,290613,290619,290511",0.2813
520832,"520832 - Fabrics, woven; contaning 85% or omre by weihgt of cottn, dyed, plain weave, weighing more tahn 100gm/2 but not ore than 200g/m2",- fabrics woven; contaning % or omre by weihgt of cottn dyed plain weave weighing more tahn gm/ but not ore than g/m,"520832,520822,520831,520852,520841",0.2179,"520832,521111,521131,520831,521031",0.5175
630491,"630491 - Furnisking articles; excluidng tohse of heading no. 9404, n.e.c. in heading 6304, knitted or crocheted",- furnisking articles; excluidng tohse of heading no  nec in heading  knitted or crocheted,"630491,630492,630499,630493,630420",0.0412,"630491,630492,630499,630493,621790",0.4485
610722,"man-made crocheted Nightshirts of men's fibres, - and or pyjzmas; kntited boys,' 617022 or",man-made crocheted nightshirts of men's fibres - and or pyjzmas; kntited boys'  or,"610722,620722,610729,610721,610832",0.2478,"610722,610729,620722,610721,620729",0.3248
008903,"rowing and - Yachts and for sports, boats oiher vesseas; 903 or pleasure canos",rowing and - yachts and for sports boats oiher vesseas;  or pleasure canos,"890319,890399,890312,890393,890110",0.5759,"890399,890319,890393,950621,630630",0.6873
